PartID,YearID,MakeName,ModelName,SubModelName,DriveTypeName,FuelTypeName,BodyNumDoors,BodyTypeName,PTID,Quantity,FitmentTitle,FitmentDescription,FitmentNotes,Position,LiftHeight,UOM,WheelType,TireDiameter1,WheelDiameter1,BackSpacing1,TireDiameter2,WheelDiameter2,BackSpacing2,TireDiameter3,WheelDiameter3,BackSpacing3
12345,2020,Ford,F-150,XLT,4WD,Gas,4,Pickup,PT001,1,Heavy Duty Brake Pads,For towing applications,Professional grade,Front,2 inch,EA,Alloy,33,17,4.5,,,,,,
12346,2021,Chevrolet,Silverado,LT,2WD,Gas,4,Pickup,PT002,1,Performance Brake Rotors,High-performance braking system,Heat treated,Front,Stock,EA,Steel,32,18,5.0,,,,,,
12347,2019,Toyota,Tacoma,TRD,4WD,Gas,4,Pickup,PT003,2,Off-Road Shocks,Heavy duty off-road suspension,Monotube design,Front,3 inch,EA,Alloy,31,16,4.25,,,,,,
12348,2022,Honda,Civic,Si,2WD,Gas,4,Sedan,PT004,1,Sport Brake Pads,Performance brake pads for sport driving,Track tested,Front,Stock,EA,Alloy,24,17,6.0,,,,,,
12349,2020,Nissan,Altima,SV,2WD,Gas,4,Sedan,PT005,1,Standard Brake Kit,Complete brake system replacement,OEM quality,Front,Stock,EA,Steel,25,16,5.5,,,,,,
12350,2021,BMW,X5,xDrive40i,AWD,Gas,5,SUV,PT006,1,Luxury Brake Pads,Premium brake pads for luxury vehicles,Ceramic compound,Front,Stock,EA,Alloy,28,19,7.0,,,,,,
12351,2019,Mercedes-Benz,C-Class,C300,2WD,Gas,4,Sedan,PT007,1,Performance Brake Discs,High-performance brake discs,Cross-drilled,Front,Stock,EA,Alloy,26,18,6.5,,,,,,
12352,2022,Audi,A4,Quattro,AWD,Gas,4,Sedan,PT008,1,Sport Brake System,Complete sport brake system,Performance oriented,Front,Stock,EA,Alloy,27,19,7.5,,,,,,
12353,2020,Volkswagen,Jetta,SE,2WD,Gas,4,Sedan,PT009,1,Standard Brake Pads,Reliable brake pads for daily driving,Long lasting,Front,Stock,EA,Steel,24,16,5.0,,,,,,
12354,2021,Hyundai,Elantra,SEL,2WD,Gas,4,Sedan,PT010,1,Eco Brake Pads,Environmentally friendly brake pads,Low dust,Front,Stock,EA,Alloy,23,15,4.5,,,,,,
12355,2019,Kia,Sorento,EX,AWD,Gas,5,SUV,PT011,1,SUV Brake Kit,Heavy duty brake system for SUVs,Extra stopping power,Front,Stock,EA,Alloy,29,18,6.0,,,,,,
12356,2022,Mazda,CX-5,Touring,AWD,Gas,5,SUV,PT012,1,All-Weather Brake Pads,Brakes for all weather conditions,Temperature resistant,Front,Stock,EA,Alloy,28,17,5.5,,,,,,
12357,2020,Subaru,Outback,Limited,AWD,Gas,5,Wagon,PT013,1,AWD Brake System,Brake system for all-wheel drive,Enhanced grip,Front,Stock,EA,Alloy,27,17,6.0,,,,,,
12358,2021,Lexus,RX,350,AWD,Gas,5,SUV,PT014,1,Luxury SUV Brakes,Premium brake system for luxury SUVs,Quiet operation,Front,Stock,EA,Alloy,30,19,7.0,,,,,,
12359,2019,Infiniti,Q50,Sport,2WD,Gas,4,Sedan,PT015,1,Sport Brake Pads,Performance brake pads for sport sedans,High friction,Front,Stock,EA,Alloy,26,18,6.5,,,,,,
12360,2022,Acura,TLX,Technology,2WD,Gas,4,Sedan,PT016,1,Technology Brake System,Advanced brake system with sensors,Smart braking,Front,Stock,EA,Alloy,25,17,6.0,,,,,,
12361,2020,Cadillac,CTS,Luxury,2WD,Gas,4,Sedan,PT017,1,Luxury Brake Kit,Premium brake system for luxury vehicles,Smooth operation,Front,Stock,EA,Alloy,27,18,7.0,,,,,,
12362,2021,Lincoln,MKZ,Reserve,2WD,Gas,4,Sedan,PT018,1,Premium Brake Pads,High-quality brake pads,Comfortable braking,Front,Stock,EA,Alloy,26,17,6.5,,,,,,
12363,2019,Jeep,Grand Cherokee,Laredo,4WD,Gas,5,SUV,PT019,1,Off-Road Brake Kit,Heavy duty brakes for off-road use,Mud resistant,Front,2 inch,EA,Alloy,32,18,5.0,,,,,,
12364,2022,Dodge,Charger,RT,2WD,Gas,4,Sedan,PT020,1,Performance Brake System,High-performance brake system,Track ready,Front,Stock,EA,Alloy,28,20,8.0,,,,,,
